prod_code,dur_A0,dur_A1,dur_A2,dur_A3,dur_A4,dur_E0,dur_E1,dur_E2,dur_E3,dur_E4,dur_A0_count,dur_A1_count,dur_A2_count,dur_A3_count,dur_A4_count,dur_E0_count,dur_E1_count,dur_E2_count,dur_E3_count,dur_E4_count
C_LPEN,0.0,0.0,0.0,0.0,7.565612613318E8,0.0,0.0,0.0,0.0,1.5756731126364374E9,0.0,0.0,0.0,0.0,1904.8100000000004,0.0,0.0,0.0,0.0,3374.9661678930665
C_EN60,0.0,0.0,0.0,0.0,2.0436220061400004E7,0.0,0.0,0.0,0.0,6.634717057855646E7,0.0,0.0,0.0,0.0,66.57,0.0,0.0,0.0,0.0,158.86262146095882
C_WLPS,1.47238107996E7,6947835.1294,1.90111764603E7,4.6148962196100004E7,2.193726710636E8,4178935.2765066526,6337310.329511855,1.7596962854625463E7,4.280253685963607E7,3.831115938301598E8,16.02,10.1,22.14,56.050000000000004,371.6900000000001,4.425276846575343,6.53830549041096,22.144974466438352,57.13255555205484,542.0024236972614
UL_OSP,2.380011913685485E7,4726341.159176988,501720.3,358923.0111517323,1540904.3286215528,1.8963469884121142E7,9126425.557702785,8688238.398672871,7738023.435903888,3207981.5359360417,22.220000000000002,3.12,3.07,2.0,2.1500000000000004,10.94763079041096,4.587243176712329,3.921497959589042,4.564164707534246,2.7787298027397265
C_NSSP,7.276962796595999E8,3.91465595935E8,2.82E7,0.0,0.0,2.9022294491491346E9,1.368415245919441E9,6.701009577438097E7,0.0,0.0,86.34999999999998,51.53,3.79,0.0,0.0,305.1711201775896,153.6942586920277,7.887216232876714,0.0,0.0
CNSSE4,0.0,0.0,0.0,0.0,0.0,748657.5410958905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23010631301369863,0.0,0.0,0.0,0.0
U_PNS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466164.2298795783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9193919835616435
C_SWIP,1.193011727420522E8,3.725233770872568E7,0.0,0.0,0.0,1.6308605964686507E8,5.174352231216041E7,0.0,0.0,0.0,109.09,31.090000000000003,0.0,0.0,0.0,110.6332462582192,33.735876710274,0.0,0.0,0.0
C_LGPS,0.0,0.0,0.0,5416201.74,4.4628395844449997E8,0.0,0.0,3999.742254439481,1.2618824059014507E7,8.22847290494049E8,0.0,0.0,0.0,14.0,1155.1500000000003,0.0,0.0,0.009777717808219177,30.244497551369868,1923.8928970554762
C_CESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281518.5655822146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24586062465753425
U_TPGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171.2466875961977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03359646575342466
C_NPRP,0.0,0.0,1150000.0,3437000.0,1.81687925E7,0.0,0.0,680981.935821918,3600701.917054795,2.5984271099383567E7,0.0,0.0,1.0,5.05,17.34,0.0,0.0,0.7455115917808219,3.2786789705479453,22.817204954109595
C_PMBP,0.0,0.0,0.0,0.0,1509303.22,0.0,0.0,0.0,0.0,5526875.215464692,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10.673127052054799
U_SIPP,0.0,0.0,0.0,0.0,1.69513227322E7,0.0,0.0,0.0,0.0,4573558.429397072,0.0,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0,7.6751704794520546
C_ELRP,0.0,0.0,0.0,0.0,1100887.61,0.0,0.0,0.0,0.0,3382451.011356239,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,11.553952260273975
U_FWAP,1.9568897400059998E8,1.55034E7,0.0,0.0,0.0,1.6882845329003644E8,1.2887657456409082E7,0.0,0.0,0.0,149.4,14.43,0.0,0.0,0.0,312.68206115273995,25.61081920821918,0.0,0.0,0.0
C_NPWL,0.0,0.0,0.0,0.0,572500.0,0.0,0.0,0.0,0.0,3600673.159402092,0.0,0.0,0.0,0.0,3.12,0.0,0.0,0.0,0.0,5.625381074657534
C_NSGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6276790712328767,0.061462942465753415,0.0,0.0,0.0
C_MNGL,0.0,0.0,0.0,0.0,4.43843094905E7,0.0,0.0,0.0,0.0,3.998598523040404E7,0.0,0.0,0.0,0.0,279.94,0.0,0.0,0.0,0.0,412.7248815034257
U_FRBL,0.0,0.0,0.0,0.0,2.6345766538281105E7,0.0,0.0,0.0,0.0,3.0718198415317204E7,0.0,0.0,0.0,0.0,25.549999999999997,0.0,0.0,0.0,0.0,38.01739354931507
U_SHPS,4362538.501384445,1.1599135949442036E7,3.5401294756191015E7,5.614114390988056E7,8.390427386145426E7,9293433.867268177,1.7000066607688032E7,4.226096918594931E7,7.25095859929921E7,1.8362525631872612E8,2.01,6.02,19.13,32.00000000000001,82.33,4.225966462328768,9.235688173972603,24.519124705479445,46.282737165753474,158.34629608424672
C_MIAP,4141105.645014778,1.0599928845437802E8,2.1915258618282133E8,2.322422038988898E8,6.698933192508737E8,1789152.9441855752,9.543618418732779E7,2.737536896542431E8,3.8887086765910226E8,1.2434298782628143E9,2.0,70.07,145.98000000000002,155.13000000000002,499.35000000000014,0.9417630568493149,50.47378730753427,150.12301788082206,222.65696811367124,789.8239990258389
C_NSWP,4.027905019349E8,2.963241385572E8,9.872082651470001E7,0.0,0.0,6.91082786187178E8,6.122318473229266E8,2.5275349381122932E8,309810.7622113156,0.0,429.45000000000005,288.14,104.02999999999997,0.0,0.0,563.9965395226031,488.947757915946,197.32453274857545,0.28234230958904105,0.0
U_FSTR,0.0,0.0,0.0,0.0,3308242.96,0.0,0.0,0.0,0.0,2.3996038870422065E7,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,13.006402601369864
U_UNBL,0.0,0.0,0.0,0.0,3138652.9120000005,0.0,0.0,0.0,0.0,7717786.901440905,0.0,0.0,0.0,0.0,14.680000000000001,0.0,0.0,0.0,0.0,26.104772709589042
C_LPP_,0.0,0.0,0.0,0.0,2.041036420907E8,0.0,0.0,0.0,0.0,4.7882515211528474E8,0.0,0.0,0.0,0.0,603.0000000000002,0.0,0.0,0.0,0.0,1025.027104689042
C_LTSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1737821.9985194616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.464928416438356
CNASWP,4350710.0,3266148.125,0.0,0.0,0.0,2708197.9135523094,4559612.488588193,891597.2844660595,0.0,0.0,6.0,5.04,0.0,0.0,0.0,3.055344576712329,5.844976123972603,1.4210115328767126,0.0,0.0
C_AMCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241770.82510576077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2913316438356164
