prod_code,dur_A0,dur_A1,dur_A2,dur_A3,dur_A4,dur_E0,dur_E1,dur_E2,dur_E3,dur_E4,dur_A0_count,dur_A1_count,dur_A2_count,dur_A3_count,dur_A4_count,dur_E0_count,dur_E1_count,dur_E2_count,dur_E3_count,dur_E4_count
C_LPEN,0.0,0.0,0.0,0.0,7.834169204492999E8,0.0,0.0,0.0,0.0,1.5756731126364334E9,0.0,0.0,0.0,0.0,1981.2500000000002,0.0,0.0,0.0,0.0,3374.9661678930647
C_EN60,0.0,0.0,0.0,0.0,2.1202477023599993E7,0.0,0.0,0.0,0.0,6.634717057855643E7,0.0,0.0,0.0,0.0,70.01,0.0,0.0,0.0,0.0,158.86262146095896
C_WLPS,1.4799132058799999E7,7025807.6681,1.91436255688E7,4.69190897778E7,2.2812017033789998E8,4178935.2765066517,6337310.329511855,1.7596962854625463E7,4.280253685963605E7,3.831115938301593E8,16.08,10.28,22.419999999999998,57.61,388.89,4.4252768465753425,6.53830549041096,22.14497446643836,57.13255555205478,542.0024236972611
UL_OSP,2.406618315282422E7,4987890.179484788,516120.29999999993,358923.0111517323,1679587.373974384,1.896346988412114E7,9126425.55770278,8688238.398672871,7738023.435903889,3207981.5359360427,22.53,3.3000000000000003,3.1799999999999997,2.0,2.34,10.94763079041096,4.587243176712328,3.921497959589041,4.564164707534246,2.7787298027397265
C_NSSP,7.276962796595999E8,3.91465595935E8,2.82E7,0.0,0.0,2.90222944914913E9,1.3684152459194386E9,6.701009577438097E7,0.0,0.0,86.35,51.53,3.79,0.0,0.0,305.1711201775895,153.69425869202766,7.887216232876715,0.0,0.0
CNSSE4,0.0,0.0,0.0,0.0,0.0,748657.5410958903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23010631301369858,0.0,0.0,0.0,0.0
U_PNS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,466164.22987957846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9193919835616438
C_SWIP,1.2183374948327783E8,4.120221654562403E7,0.0,0.0,0.0,1.63086059646865E8,5.174352231216043E7,0.0,0.0,0.0,111.93000000000002,34.64,0.0,0.0,0.0,110.63324625821922,33.73587671027398,0.0,0.0,0.0
C_LGPS,0.0,0.0,0.0,5416201.739999999,4.601541415069001E8,0.0,0.0,3999.742254439479,1.2618824059014507E7,8.228472904940487E8,0.0,0.0,0.0,14.0,1199.5600000000002,0.0,0.0,0.00977771780821918,30.244497551369868,1923.8928970554807
C_CESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281518.56558221456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24586062465753417
C_NPRP,0.0,0.0,1150000.0,3437000.0,1.81687925E7,0.0,0.0,680981.9358219178,3600701.9170547943,2.5984271099383567E7,0.0,0.0,1.0,5.05,17.34,0.0,0.0,0.7455115917808219,3.2786789705479458,22.81720495410959
C_PMBP,0.0,0.0,0.0,0.0,1515439.8441999997,0.0,0.0,0.0,0.0,5526875.2154646935,0.0,0.0,0.0,0.0,4.01,0.0,0.0,0.0,0.0,10.673127052054799
U_TPGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2171.2466875961977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03359646575342466
U_SIPP,0.0,0.0,0.0,0.0,1.7619211777799997E7,0.0,0.0,0.0,0.0,4573558.429397074,0.0,0.0,0.0,0.0,3.24,0.0,0.0,0.0,0.0,7.675170479452054
C_ELRP,0.0,0.0,0.0,0.0,1102440.7686,0.0,0.0,0.0,0.0,3382451.011356238,0.0,0.0,0.0,0.0,5.01,0.0,0.0,0.0,0.0,11.553952260273977
U_FWAP,7.08125832602E7,6070200.0,0.0,0.0,0.0,1.5920455922890395E8,1.2079114918902073E7,0.0,0.0,0.0,53.35,5.669999999999999,0.0,0.0,0.0,104.75039449246577,8.564770580821927,0.0,0.0,0.0
C_NPWL,0.0,0.0,0.0,0.0,600000.0,0.0,0.0,0.0,0.0,3600673.1594020925,0.0,0.0,0.0,0.0,3.29,0.0,0.0,0.0,0.0,5.6253810746575335
C_NSGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6276790712328768,0.06146294246575342,0.0,0.0,0.0
C_MNGL,0.0,0.0,0.0,0.0,4.5257923730900005E7,0.0,0.0,0.0,0.0,3.998598523040403E7,0.0,0.0,0.0,0.0,286.92999999999995,0.0,0.0,0.0,0.0,412.72488150342525
