PLAN_ID,BENEFIT_NAME,BENEFIT_GRP,PPT_Flag,PRODCODE,ARO_PC,TYPE,TYPE2,TYPE3,MinAge,MaxAge,MinTerm,MaxTerm,Minppt,Maxppt,MaxMatAge,MinMatAge,MinPrem,MaxPrem,MinSA,MaxSA,MapTo,DBOPT,Count,RE_CODE,FA_Zero,UIN_IND,NO_UIN_IND,DBO,VAL_METHOD,Revival_Period,Post_2013_Ind,ROP_IND,Payout_opt
AP00R,Deferred Annuity Regular Premium,Defered annuity,1,CA_RPP,C_ELRP,PAR_PENSION,Plan,Par,20,60,10,40,10,40,70,50,2499,9999999999,100000,100000000,NA,99,99,0,0,0,0,1,0,12,0,0,0
AP00S,Deferred Annuity Single Premium,Defered annuity,0,CA_SPP,C_ELSP,PAR_PENSION,Plan,Par,20,60,10,40,1,1,70,50,100000,9999999999,100000,100000000,NA,99,99,0,0,0,0,1,0,0,0,0,0
DN10,Dread Disease 10 Yr Rider,Dread Disease  Rider,1,CR_DD_,C_NDDR,NPAR,Rider,NPAR Protection,20,50,10,10,10,10,60,30,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DN15,Dread Disease 15 Yr Rider,Dread Disease  Rider,1,CR_DD_,C_NDDR,NPAR,Rider,NPAR Protection,20,50,15,15,15,15,60,35,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DN20,Dread Disease 20 Yr Rider,Dread Disease  Rider,1,CR_DD_,C_NDDR,NPAR,Rider,NPAR Protection,20,50,20,20,20,20,60,40,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DN25,Dread Disease 25 Yr Rider,Dread Disease  Rider,1,CR_DD_,C_NDDR,NPAR,Rider,NPAR Protection,20,50,25,25,25,25,60,45,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DN30,Dread Disease 30 Yr Rider,Dread Disease  Rider,1,CR_DD_,C_NDDR,NPAR,Rider,NPAR Protection,20,50,30,30,30,30,60,50,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DNPT,Dread Disease Rider (Non Par),Dread Disease  Rider,1,CR_DD_,C_NDDR,NPAR,Rider,NPAR Protection,20,50,10,40,10,40,60,30,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DP10,Dread Disease 10 Yr Rider (Par),Dread Disease  Rider(par),1,CR_DD_,C_PDDR,PAR,Rider,Par,20,50,10,10,10,10,60,30,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
DP15,Dread Disease 15 Yr Rider (Par),Dread Disease  Rider(par),1,CR_DD_,C_PDDR,PAR,Rider,Par,20,50,15,15,15,15,60,35,0,9999999999,100000,1000000,NA,99,99,0,0,1,10,1,0,36,0,0,0
