prod_code,dur_A0,dur_A1,dur_A2,dur_A3,dur_A4,dur_E0,dur_E1,dur_E2,dur_E3,dur_E4,dur_A0_count,dur_A1_count,dur_A2_count,dur_A3_count,dur_A4_count,dur_E0_count,dur_E1_count,dur_E2_count,dur_E3_count,dur_E4_count
C_LPEN,0.0,0.0,0.0,0.0,8.220631505175002E8,0.0,0.0,0.0,0.0,1.6665654286940408E9,0.0,0.0,0.0,0.0,2081.61,0.0,0.0,0.0,0.0,3564.2732942709995
C_EN60,0.0,0.0,0.0,0.0,2.3719899961700004E7,0.0,0.0,0.0,0.0,7.009593427760611E7,0.0,0.0,0.0,0.0,74.63000000000001,0.0,0.0,0.0,0.0,167.14992961986297
C_WLPS,1.3926282119199999E7,6978005.3454,2.0047647818200003E7,4.736862984869999E7,2.5250613952560002E8,4329165.125041252,6478212.892361249,1.7716046924223565E7,4.3971963034066185E7,4.072689378133837E8,15.06,10.2,25.89,58.14000000000001,410.65000000000003,4.561891420547946,6.68095401780822,22.320612465068486,58.155645206849314,574.5062809952069
UL_OSP,2.1253677379186813E7,4809542.1157603925,507120.3,358923.0111517323,1588732.0104058296,2.2312001306940615E7,1.0138988429279853E7,8928699.849047631,8358507.821197143,3635854.033780418,20.36,3.21,3.12,2.0,2.24,12.11261588493152,5.202692571917806,4.014359256849315,4.842855188356163,3.1061580013698626
C_NSSP,7.560433650112E8,3.7993718007500005E8,3.957E7,0.0,0.0,3.0774528778629913E9,1.527475785748903E9,1.1004343114690675E8,0.0,0.0,85.92000000000002,49.1,6.13,0.0,0.0,321.49530632347995,170.82100534035646,12.939604485616444,0.0,0.0
CNSSE4,0.0,0.0,0.0,0.0,0.0,816292.6671232877,7862.624657534245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2508085732876712,0.0024144623287671234,0.0,0.0,0.0
U_PNS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486805.8995214813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0031395890410963
C_SWIP,1.1793655562914476E8,4.0356797204533E7,0.0,0.0,0.0,1.6875228829363018E8,6.1631444128903866E7,0.0,0.0,0.0,109.15,33.88,0.0,0.0,0.0,114.45924028424653,40.351946786301376,0.0,0.0,0.0
C_LGPS,0.0,0.0,0.0,5416201.739999999,4.782897275854E8,0.0,0.0,3999.742254439479,1.2572882370663658E7,8.701420881994323E8,0.0,0.0,0.0,14.0,1249.8600000000001,0.0,0.0,0.009777717808219177,30.02906435136986,2033.3735201616441
C_CESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295974.2921916205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25787894794520544
C_NPRP,0.0,0.0,1150000.0,3424000.0,1.85437925E7,0.0,0.0,680557.5155479449,3630813.8295205478,2.7612905162157536E7,0.0,0.0,1.0,5.04,18.19,0.0,0.0,0.7464816219178083,3.3160633541095894,24.247194166438344
C_PMBP,0.0,0.0,0.0,0.0,1509303.22,0.0,0.0,0.0,0.0,5864609.439757767,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.276036495890416
U_TPGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2318.0847786578283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03553681095890411
U_SIPP,0.0,0.0,0.0,0.0,1.72809223853E7,0.0,0.0,0.0,0.0,4800560.174390028,0.0,0.0,0.0,0.0,3.17,0.0,0.0,0.0,0.0,8.040622002739726
C_ELRP,0.0,0.0,0.0,0.0,1100887.6099999999,0.0,0.0,0.0,0.0,3545583.9548573866,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,12.101049317808222
U_FWAP,6.13402878502E7,7135817.8,0.0,0.0,0.0,1.7192268440801686E8,1.903760435279242E7,0.0,0.0,0.0,49.819999999999986,8.129999999999999,0.0,0.0,0.0,112.96292967945205,13.366960321917812,0.0,0.0,0.0
C_NPWL,0.0,0.0,0.0,0.0,583000.0,0.0,0.0,0.0,0.0,3792874.805945955,0.0,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,5.855892229452055
C_NSGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6961780136986302,0.09495179452054794,0.0,0.0,0.0
C_MNGL,0.0,0.0,0.0,0.0,4.880691004E7,0.0,0.0,0.0,0.0,4.1590893620678924E7,0.0,0.0,0.0,0.0,302.89,0.0,0.0,0.0,0.0,428.7420492575346
U_FRBL,0.0,0.0,0.0,0.0,2.7824710708093368E7,0.0,0.0,0.0,0.0,3.2306817614664238E7,0.0,0.0,0.0,0.0,27.849999999999998,0.0,0.0,0.0,0.0,39.9668535630137
U_SHPS,4362538.501384445,1.1599135949442036E7,3.547802291731208E7,6.381845006048702E7,8.939386586754078E7,9374215.207734747,1.7449245682700656E7,4.295445234654945E7,7.465899657173441E7,1.94621266559413E8,2.01,6.02,19.269999999999996,36.97,89.19999999999999,4.277343323287671,9.45994426438356,25.02380606575342,47.787495149315085,168.2240255856168
C_MIAP,4141105.645014778,1.067222814646256E8,2.2718605917201698E8,2.4612986695745337E8,7.24379174026375E8,1797798.9467859035,9.531084572893189E7,2.795254768876039E8,4.0393068962598825E8,1.329401117639416E9,2.0,71.16,150.59,165.26,541.45,0.9458475417808219,50.36585982739727,153.15540722328797,231.24578035271253,845.2424744221943
C_NSWP,3.959076166477001E8,3.1797659332570004E8,1.1158822821770002E8,3560000.0,0.0,7.17391122949965E8,6.430498323431704E8,2.8385335142630947E8,3008317.8650739845,0.0,432.97,314.89,122.38000000000001,1.8,0.0,584.2140739012331,513.66086819937,221.58332142843872,2.5248124063013693,0.0
U_FSTR,0.0,0.0,0.0,0.0,1.2974473650400002E7,0.0,0.0,0.0,0.0,2.3899615327070583E7,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,0.0,13.328941246575342
U_UNBL,0.0,0.0,0.0,0.0,3148132.5867,0.0,0.0,0.0,0.0,8166551.385486604,0.0,0.0,0.0,0.0,14.799999999999999,0.0,0.0,0.0,0.0,27.491674271232878
C_LPP_,0.0,0.0,0.0,0.0,2.2791850069930002E8,0.0,0.0,0.0,0.0,5.0743570729365265E8,0.0,0.0,0.0,0.0,660.0899999999999,0.0,0.0,0.0,0.0,1082.8154067753446
C_LTSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1819377.9977911506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5350122712328766
CNASWP,4350710.0,3284804.375,0.0,0.0,0.0,2719122.999810983,4717712.422648318,1202220.310360649,0.0,0.0,6.0,5.069999999999999,0.0,0.0,0.0,3.0729639027397258,6.0047454712328765,1.8461351712328768,0.0,0.0
C_AMCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252595.0068141722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3444581397260273
C_STEP,0.0,0.0,0.0,0.0,1.8881510531999998E7,0.0,0.0,0.0,0.0,2.4362993744988818E7,0.0,0.0,0.0,0.0,84.48,0.0,0.0,0.0,0.0,134.05351614972614
C_NRCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,624698.6748542233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0420780267123286
