prod_code,dur_A0,dur_A1,dur_A2,dur_A3,dur_A4,dur_E0,dur_E1,dur_E2,dur_E3,dur_E4,dur_A0_count,dur_A1_count,dur_A2_count,dur_A3_count,dur_A4_count,dur_E0_count,dur_E1_count,dur_E2_count,dur_E3_count,dur_E4_count
C_LPEN,0.0,0.0,0.0,0.0,7.358944867018001E8,0.0,0.0,0.0,0.0,1.4854151492774072E9,0.0,0.0,0.0,0.0,1866.3300000000002,0.0,0.0,0.0,0.0,3186.12264629398
C_EN60,0.0,0.0,0.0,0.0,2.00161810704E7,0.0,0.0,0.0,0.0,6.291968239165345E7,0.0,0.0,0.0,0.0,66.28999999999999,0.0,0.0,0.0,0.0,150.5244088294521
C_WLPS,1.1341041159999998E7,7088695.0988,1.9242664058700003E7,4.6513415313799985E7,2.164362638165E8,4055138.7943149987,6100898.770770924,1.727694591527116E7,4.172949669737217E7,3.594972198832639E8,13.01,10.39,22.599999999999994,57.199999999999996,370.53000000000003,4.301331343150684,6.417634301369864,21.884506836986304,55.81248558013701,509.94643296986374
UL_OSP,2.2468080976930864E7,5318304.775706892,530610.6,358923.0111517323,1309298.1011114928,1.6666525942171058E7,8138215.793244741,8475677.91971947,7113861.455398917,2799555.3930211244,21.84,3.49,3.26,2.01,1.39,10.101112206849319,3.9913739041095893,3.8406501102739727,4.274834993150685,2.469613298630137
C_NSSP,6.879873993323E8,3.55378913425E8,7000000.0,0.0,0.0,2.733950086597236E9,1.2104094092858799E9,3.257753122757884E7,0.0,0.0,82.88999999999999,47.82000000000001,1.41,0.0,0.0,289.326982005672,136.52596699671244,3.8281737917808223,0.0,0.0
CNSSE4,0.0,0.0,0.0,0.0,0.0,673983.2061643838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20706632328767127,0.0,0.0,0.0,0.0
U_PNS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444641.206650541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8332441671232875
C_SWIP,1.155662471598272E8,3.617613453368945E7,0.0,0.0,0.0,1.568987672619426E8,4.245991552695829E7,0.0,0.0,0.0,107.17000000000002,29.66,0.0,0.0,0.0,106.37036156095905,27.565840553424664,0.0,0.0,0.0
C_LGPS,0.0,0.0,0.0,5416201.74,4.3683182273370004E8,0.0,0.0,3999.7422544394794,1.2693919197645234E7,7.745964332885051E8,0.0,0.0,0.0,14.0,1135.05,0.0,0.0,0.009777717808219179,30.550655541780838,1814.5134219787722
C_CESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267106.97649709077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23378554520547945
C_NPRP,0.0,0.0,1161500.0,3469000.0,1.74862925E7,0.0,0.0,690237.7313013697,3615572.979794521,2.4366078836678077E7,0.0,0.0,1.0,5.1,16.240000000000002,0.0,0.0,0.752972405479452,3.2714125089041097,21.422357300684936
C_PMBP,0.0,0.0,0.0,0.0,927512.1342,0.0,0.0,0.0,0.0,5175218.40365652,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,10.05132796438357
U_TPGR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2054.9944877274775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0316561205479452
U_SIPP,0.0,0.0,0.0,0.0,1.8124473431700002E7,0.0,0.0,0.0,0.0,4378573.542404235,0.0,0.0,0.0,0.0,3.3400000000000003,0.0,0.0,0.0,0.0,7.3071409041095885
C_ELRP,0.0,0.0,0.0,0.0,1102440.7686,0.0,0.0,0.0,0.0,3215776.232975772,0.0,0.0,0.0,0.0,5.02,0.0,0.0,0.0,0.0,11.00919047123288
U_FWAP,5.5888220740399994E7,5595000.0,0.0,0.0,0.0,1.460806664539391E8,6204130.200579115,0.0,0.0,0.0,47.89,4.59,0.0,0.0,0.0,96.371128369863,4.473216269863013,0.0,0.0,0.0
C_NPWL,0.0,0.0,0.0,0.0,625000.0,0.0,0.0,0.0,0.0,3404140.3200631603,0.0,0.0,0.0,0.0,3.42,0.0,0.0,0.0,0.0,5.364684207534247
C_NSGP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5703343178082191,0.03495926027397261,0.0,0.0,0.0
C_MNGL,0.0,0.0,0.0,0.0,4.3634215687300004E7,0.0,0.0,0.0,0.0,3.8350679737119466E7,0.0,0.0,0.0,0.0,275.19,0.0,0.0,0.0,0.0,396.0384986424651
U_FRBL,0.0,0.0,0.0,0.0,2.2602942931072596E7,0.0,0.0,0.0,0.0,2.9154569892593145E7,0.0,0.0,0.0,0.0,22.12,0.0,0.0,0.0,0.0,36.0337009041096
U_SHPS,4375163.420716429,1.168092575823632E7,3.581817972876038E7,5.5269118849434465E7,7.691448612701839E7,9172743.833684687,1.6544373286829244E7,4.154684658689075E7,7.005124943388717E7,1.7261340242397225E8,2.04,6.1000000000000005,19.56,31.0,77.53000000000002,4.164292516438357,8.999088053424654,24.010323382191796,44.606427930137045,148.5220586541097
C_MIAP,4141105.645014778,1.0335243935491984E8,2.1802351701960903E8,2.3567290281726477E8,6.420249719919562E8,1796838.2871500303,9.58302625534831E7,2.670636503131191E8,3.722657256236621E8,1.1590440216283953E9,2.0,68.34,144.70999999999998,156.92000000000004,486.5299999999999,0.9457014869863014,50.67476869383558,146.4271615301372,213.08051324106845,735.75040401381
C_NSWP,3.800185739818001E8,2.8694373770210004E8,8.44932051544E7,0.0,0.0,6.605016289503438E8,5.760238530922126E8,2.165556404547157E8,0.0,0.0,406.04,279.57,85.49,0.0,0.0,540.4736900434248,459.72446555293266,168.84321855857533,0.0,0.0
U_FSTR,0.0,0.0,0.0,0.0,3308242.96,0.0,0.0,0.0,0.0,2.3503123361857213E7,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,12.662236112328767
U_UNBL,0.0,0.0,0.0,0.0,2603839.2914,0.0,0.0,0.0,0.0,7283405.654472351,0.0,0.0,0.0,0.0,12.61,0.0,0.0,0.0,0.0,24.716194608219176
C_LPP_,0.0,0.0,0.0,0.0,1.930337942414E8,0.0,0.0,0.0,0.0,4.5117556228782344E8,0.0,0.0,0.0,0.0,590.85,0.0,0.0,0.0,0.0,966.8831940472633
C_LTSP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1650694.8829393042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3939525369863013
CNASWP,4356690.85,3336451.25,0.0,0.0,0.0,2698463.91917494,4366862.184955978,620594.9222770659,0.0,0.0,6.039999999999999,5.16,0.0,0.0,0.0,3.036789187671234,5.6623759212328775,1.0262542363013698,0.0,0.0
C_AMCH,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229072.76456853465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2311633232876715
C_STEP,0.0,0.0,0.0,0.0,1.8640380860099997E7,0.0,0.0,0.0,0.0,2.2012355504018225E7,0.0,0.0,0.0,0.0,83.23,0.0,0.0,0.0,0.0,122.00106767506857
C_NRCT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,558220.7559640645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9316197869863013
